Unnamed: 0,Unnamed: 1,0.2,0.2.1,0.2.2,0.2.3,0.2.4
Conviction,,P/NAV 25 Filter,P/CF 25 Filter,EV/Prodn 25 filter,EV/Reserves filter,P/NAV v historical since 2018
,Senior Producers,,,,,
,Agnico Eagle,,,,,
,AngloGold,,,,,
,Barrick,,,,,
,Gold Fields,,,,,
,Kinross,,,,,
,Newmont,,,,,
,Northern Star,,,,,
,Intermediate Producers,,,,,
,Alamos,,,,,
,Allied Gold,,,,,
Buy,B2Gold,,,,,
,Centerra,,,,,
,Coeur Mining,,,,,
,Dundee Precious Metals,,,,,
,Eldorado,,,,,
,Endeavour Mining,,,,,
Buy,Equinox Gold,,,,,
,Evolution Mining,,,,,
,Fresnillo PLC,,,,,
,Harmony,,,,,
,Hecla,,,,,
,IAMGOLD,,,,,
,Lundin Gold,,,,,
,New Gold,,,,,
,OceanaGold,,,,,
,Pan American Silver,,,,,
,Perseus,,,,,
,Regis,,,,,
,Sibanye Gold,,,,,
,SSR Mining,,,,,
,Torex,,,,,
,Junior Producers,,,,,
,Aris Mining,,,,,
,Aura Minerals,,,,,
,Bellevue Gold,,,,,
,Capricorn Metals,,,,,
,Catalyst Metals,,,,,
,DRD Gold,,,,,
,Emerald Resources,,,,,
,Fortuna Mining,,,,,
,G Mining ,,,,,
,Genesis Minerals,,,,,
,Gold Road Resources,,,,,
,Hochschild,,,,,
,K92,,,,,
,Mandalay Resources,,,,,
,Orezone Gold,,,,,
,Ora Banda Mining,,,,,
,Pan African Resources,,,,,
,Ramelius,,,,,
,Resolute Mining,,,,,
,Wesdome,,,,,
,West African Resources,,,,,
,Westgold,,,,,
,Alkane Resources,,,,,
,Anglo Asian Mining,,,,,
,Discovery Silver,,,,,
,Galiano Gold,,,,,
,Jaguar Mining,,,,,
,McEwen Mining,,,,,
,Orla Mining,,,,,
,St Barbara,,,,,
,Thor Exploration,,,,,
