Unnamed: 0,0.2,0.2.1,0.2.2,0.2.3,0.2.4
,P/NAV Filter,P/CF 25 Filter,EV/Prodn 25 filter,EV/Reserves filter,P/NAV v historical since 2018
Senior Producers,,,,,
Aya Gold & Silver,,0.3573472170744465,-0.4674610751001465,,-0.1930778065491887
First Majestic Silver,,-0.14896194623804665,2.319552463984272,,0.3232085712151638
Endeavour Silver,,0.8611186803014743,-0.05565838918254342,,0.13128770301373338
Silvercorp Metals,,-0.7640870388152199,-0.24085734907493217,,-0.12436899250649858
MAG Silver,,,0.2560370162184505,,
GoGold Resources,,0.14802614462153985,-0.9016158995129151,,0.17168613639740604
Adriatic Metals,,-0.453443056944194,-0.9099967673321853,,
Silver Index Companies,,,,,
Fortuna Mining,-0.5264376319971632,-0.5976316901321196,-0.4837735027729029,-0.43263309975318187,-0.32544629639820644
Pan American Silver,-0.20061410498893875,-0.0549856576192958,0.795681181759445,-0.06791765636854237,0.04865338880065573
Coeur Mining,0.28319226644044765,-0.018746131693876452,0.09956434728849939,0.20696955403455325,0.8154032337464172
Hecla Mining,0.4438594705456541,0.6713634794452912,-0.41147202627504165,0.2935812020871714,0.6914300172965617
